"Source:","C:\Users\Rapha\Documents\CUBESAT\CUBESAT.kicad_sch"
"Date:","28-Mar-24 00:25:29"
"Tool:","Eeschema 7.0.5"
"Generator:","C:\Program Files\KiCad\7.0\bin\scripting\plugins/bom_csv_grouped_by_value_with_fp.py"
"Component Count:","45"
"Ref","Qnty","Value","Cmp name","Footprint","Description","Vendor","DNP"
"C1","1","10 nF","C","CUBESAT:Capacitor10nf","Unpolarized capacitor","",""
"C2","1","220 nF","C","CUBESAT:Capacitor220nf","Unpolarized capacitor","",""
"C3, C5, C6, C8, C10, C12, C14, C15, C16, C19, C21","11","100nF","C","CUBESAT:Capacitor100nf","Unpolarized capacitor","",""
"C4, C17","2","10uF","C","CUBESAT:Capacitor10uf","Unpolarized capacitor","",""
"C7, C13, C18","3","2.2uF","C","CUBESAT:Capacitor2-2uf","Unpolarized capacitor","",""
"C9","1","0.47uF","C","CUBESAT:Capacitor0-47uf","Unpolarized capacitor","",""
"C11","1","10nF","C","CUBESAT:Capacitor10nf","Unpolarized capacitor","",""
"D1","1","Red LED","LED","CUBESAT:Red LED","Light emitting diode","",""
"D2","1","Green LED","LED","CUBESAT:Green LED","Light emitting diode","",""
"J1","1","6 Pin Connector","6 Pin Connector","CUBESAT:6 Pin Connector","","",""
"J2","1","M22-6003005","PC104","CUBESAT:PC104","PC / 104 Connectors 2mm 30P STACKTHRU GOLD","",""
"J3","1","U.FL-R-SMT_01_","UFL","CUBESAT:UFL","","",""
"L1","1","27 nH","L","CUBESAT:Inductor27nH","Inductor","",""
"R1, R2, R5","3","10k","R","CUBESAT:Resistor10kO","Resistor","",""
"R3","1","10","R","CUBESAT:Resistor10O","Resistor","",""
"R4, R6","2","300","R","CUBESAT:Resistor300O","Resistor","",""
"R7","1","Resistor100O","Resistor100O","CUBESAT:Reistor100O","","",""
"R9, R10, R11, R12","4","~","Resistor4.7kO","CUBESAT:Resistor4.7kO","","",""
"S1, S2","2","Button","Button","CUBESAT:Button","","",""
"U1","1","ADXL345BCCZ","Accelerometer","CUBESAT:Accelerometer","","",""
"U2","1","NEO-M8N-0","GPS","CUBESAT:GPS","","",""
"U3","1","IAM-20380","Gyroscope","CUBESAT:Gyroscope","","",""
"U4","1","MAGNETOMETER","MAGNETOMETER","CUBESAT:MAGNETOMETER","","",""
"U5","1","STM32F446RET6","STM32","CUBESAT:STM32","","",""
"U6","1","LM75AIM_NOPB","Temp","CUBESAT:Temp","","",""
